Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Suspicious_Feature_Count
123,69074493,8,8,384,384,48,48,48.0,0.0,48,48,48.0,0.0,11.1184312276,0.2316339839,4604966.2,14496620.1769562,56907290,94319,68979951,9854278.71428571,20790116.944149,57001829,1983095,68979873,9854267.57142857,20790123.2108613,57001832,1982794,0,-83885125,-83885125,0.115816992,0.115816992,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,1,51.0,48.0,48.0,-83885125,8,384,8,384,-1,-1,7,-83885313,12072661.0,0.0,12072661,12072661,56907290.0,0.0,56907290,56907290,BENIGN,4
123,110090001,10,10,480,480,48,48,48.0,0.0,48,48,48.0,0.0,8.7201379896,0.1816695415,5794210.57894737,14736139.2686871,61911381,88516,109998979,12222108.7777778,20067333.9484594,62000040,1998927,110001454,12222383.7777778,20068068.6920153,62002403,1998899,0,-83885015,-83885015,0.0908347707,0.0908347707,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,1,50.4,48.0,48.0,-83885015,10,480,10,480,-1,-1,9,-83885313,4088253.66666667,3463750.60530018,6088415,88659,32578072.6666667,25890786.5530837,61911381,12911359,BENIGN,4
123,70024765,9,9,432,432,48,48,48.0,0.0,48,48,48.0,0.0,12.3384919607,0.2570519158,4119103.82352941,13907317.7026527,57979739,22112,70002409,8750301.125,19905549.8296334,58001952,1010702,70002344,8750293.0,19905610.5895824,58002095,1010499,0,-83885081,-83885081,0.1285259579,0.1285259579,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,1,50.6666666667,48.0,48.0,-83885081,9,432,9,432,-1,-1,8,-83885313,12022670.0,0.0,12022670,12022670,57979739.0,0.0,57979739,57979739,BENIGN,4
123,68000558,9,9,432,432,48,48,48.0,0.0,48,48,48.0,0.0,12.7057780908,0.2647037102,4000032.82352941,13421151.9531661,55971712,30006,67970494,8496311.75,19200588.4201411,56001960,973671,67970303,8496287.875,19200525.576465,56001776,973626,0,-83885093,-83885093,0.1323518551,0.1323518551,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,1,50.6666666667,48.0,48.0,-83885093,9,432,9,432,-1,-1,8,-83885313,11998782.0,0.0,11998782,11998782,55971712.0,0.0,55971712,55971712,BENIGN,4
123,8023666,5,5,240,240,48,48,48.0,0.0,48,48,48.0,0.0,59.8230285259,1.2463130943,891518.444444445,1028932.97419172,1976326,23607,7999930,1999982.5,93.139680051,2000076,1999863,7999726,1999931.5,471.9918784612,2000567,1999454,0,-83885221,-83885221,0.6231565471,0.6231565471,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,1,52.8,48.0,48.0,-83885221,5,240,5,240,-1,-1,4,-83885313,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,4
123,66080783,7,7,336,336,48,48,48.0,0.0,48,48,48.0,0.0,10.1693710258,0.2118618964,5083137.15384615,15301135.0144929,55919006,80807,65999976,10999996.0,22045423.8518669,56000029,1999871,65999710,10999951.6666667,22045339.7537665,55999813,1999720,0,-83885133,-83885133,0.1059309482,0.1059309482,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,1,51.4285714286,48.0,48.0,-83885133,7,336,7,336,-1,-1,6,-83885313,10080970.0,0.0,10080970,10080970,55919006.0,0.0,55919006,55919006,BENIGN,4
123,69032052,8,8,384,384,48,48,48.0,0.0,48,48,48.0,0.0,11.1252668543,0.2317763928,4602136.8,14787188.355428,57956516,45331,68986547,9855221.0,21234031.4495497,58001924,989826,68986063,9855151.85714286,21234108.9465025,58002021,989193,0,-83885113,-83885113,0.1158881964,0.1158881964,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,1,51.0,48.0,48.0,-83885113,8,384,8,384,-1,-1,7,-83885313,11030031.0,0.0,11030031,11030031,57956516.0,0.0,57956516,57956516,BENIGN,4
123,75107449,8,7,384,336,48,48,48.0,0.0,48,48,48.0,0.0,9.5862662038,0.1997138792,5364817.78571429,15487364.6316195,58889963,111385,74995805,10713686.4285714,21345485.3035037,59001747,1983726,74995224,12499204.0,22837935.7704461,59001607,1984038,0,-83885125,188,0.1065140689,0.0931998103,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,51.2,48.0,48.0,-83885125,8,384,7,336,-1,-1,7,-83885313,5104205.0,7059725.81909524,10096185,112225,32393697.5,37471378.0223383,58889963,5897432,BENIGN,3
123,69018971,8,8,384,384,48,48,48.0,0.0,48,48,48.0,0.0,11.1273753994,0.2318203208,4601264.73333333,14243474.4509516,55949525,52067,68966810,9852401.42857143,20353182.8675232,56001685,1988914,68966574,9852367.71428571,20353196.2288876,56001686,1988867,0,-83885137,-83885137,0.1159101604,0.1159101604,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,1,51.0,48.0,48.0,-83885137,8,384,8,384,-1,-1,7,-83885313,13017285.0,0.0,13017285,13017285,55949525.0,0.0,55949525,55949525,BENIGN,4
138,42861781,156,0,30920,0,233,180,198.2051282051,15.2661201733,0,0,0.0,0.0,721.3885955882,3.6396061097,276527.619354839,1247722.28157673,9713940,1,42861781,276527.619354839,1247722.28157673,9713940,1,0,0.0,0.0,0,0,0,-1006620072,0,3.6396061097,0.0,180,233,198.4267515924,15.4684143941,239.2718438674,0,0,0,0,0,0,0,0,199.6987179487,198.2051282051,0.0,-1006620072,156,30920,0,0,-1,-1,155,-83885313,2992859.33333333,5183641.53141325,8978413,21,8291199.33333333,1304654.81961335,9713940,7150899,BENIGN,3
