Feature,Negative_Count,Percentage,BENIGN,DDoS,Minimum
Init_Win_bytes_backward,65430,41.25238794772049,38227,27203,-1.0
Init_Win_bytes_forward,22560,14.223656917324995,22560,0,-1.0
Flow IAT Min,143,0.09015881822595187,129,14,-13.0
Fwd Header Length,19,0.011979143680371227,19,0,-1929349973.0
Fwd Header Length.1,19,0.011979143680371227,19,0,-1929349973.0
min_seg_size_forward,19,0.011979143680371227,19,0,-83885313.0
Bwd Header Length,15,0.009457218695029917,15,0,-167770490.0
Flow Duration,4,0.0025219249853413108,4,0,-1.0
Flow Packets/s,4,0.0025219249853413108,4,0,-2000000.0
Flow IAT Mean,4,0.0025219249853413108,4,0,-1.0
Flow IAT Max,4,0.0025219249853413108,4,0,-1.0
Fwd IAT Min,4,0.0025219249853413108,0,4,-12.0
Flow Bytes/s,3,0.0018914437390059832,3,0,-12000000.0
