Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Negative_Feature_Count
443,115825912,25,26,685,18865,334,0,27.4,78.3315602636,2896,0,725.5769230769,833.0147740864,168.7877924933,0.4403159804,2316518.24,4255306.51884589,10217170,-1,115825912,4826079.66666667,5114563.67945518,10240030,16,112637568,4505502.72,5177862.16570244,10247814,1,0,808,840,0.2158411669,0.2244748135,0,2896,375.9615384615,683.8734822086,467682.939668175,0,0,0,1,0,0,0,1,383.3333333333,27.4,725.5769230769,808,25,685,26,18865,29200,972,4,32,34878.9090909091,36162.9340829932,143701,22850,10204921.8181818,36832.0604333185,10217170,10094079,BENIGN,1
80,119999670,214125,283900,1267983,629600565,367,0,5.9216952715,8.5355862797,7300,6,2217.6842726312,834.140820027,5257252.35744398,4150.2197464376,240.9515806467,2464.7044469697,607023,-12,119999670,560.4213913433,3763.2166795967,607023,1,119977392,422.6058985766,3693.4122646794,629734,0,1,4524100,5678000,1784.3799070448,2365.8398393929,0,7300,1266.7389152374,1263.1848904115,1595636.06736394,0,1,0,0,1,0,0,1,1266.7414587621,5.9216952715,2217.6842726312,4524100,214125,1267983,283900,629600565,1485,1025,204290,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
443,284774,60,139,564,249212,325,0,9.4,46.0262268638,2896,0,1792.8920863309,686.9610424016,877102.544473864,698.7997499772,1438.2525252525,4639.0053958592,32585,-1,284774,4826.6779661017,8038.1084548815,33909,4,250031,1811.8188405797,5294.0814443305,33391,2,0,1932,4456,210.6933919529,488.1063580243,0,2896,1248.88,1002.8216350672,1005651.23175879,0,0,0,1,0,0,0,2,1255.1557788945,9.4,1792.8920863309,1932,60,564,139,249212,65535,61,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
443,26143494,293,424,4911,804692,531,0,16.7610921502,63.9515890441,4020,0,1897.858490566,901.4762223458,30967.6663723678,27.4255614035,36513.2597765363,520869.571488523,10000786,-1,16145926,55294.2671232877,589996.938630928,10000881,29,25775578,60935.1725768322,689387.714909009,10364874,3,0,5896,8528,11.2073772542,16.2181841494,0,4020,1127.5807799443,1156.709984045,1337977.98718935,0,0,0,1,0,0,0,1,1129.1534170154,16.7610921502,1897.858490566,5896,293,4911,424,804692,8192,2349,290,20,3254614.0,4087821.07159205,6145140,364088,9817131.5,259726.68469085,10000786,9633477,BENIGN,1
80,116309815,80,116,3170,154560,299,0,39.625,89.798279564,2920,0,1332.4137931035,640.9150533005,1356.1194298177,1.68515443,596460.58974359,2337358.29752009,10014727,-1,116309815,1472276.13924051,3513086.52727064,10036882,4,110996787,965189.452173913,2960290.42074973,10036870,2,0,1612,2464,0.6878181347,0.9973362953,0,2920,800.6598984772,807.020307426,651281.776597949,0,0,0,1,0,0,0,1,804.7448979592,39.625,1332.4137931035,1612,80,3170,116,154560,8192,156,79,20,85152.6363636364,209160.097010052,715794,21948,10005466.0909091,4857.8761090531,10014727,9999481,BENIGN,1
443,14747106,8,6,397,5067,241,0,49.625,88.1847694981,4380,0,844.5,1749.1350719713,370.513373946,0.9493388059,1134392.76923077,4030322.1449898,14547897,-1,14747106,2106729.42857143,5486135.81362951,14547897,900,117982,23596.4,30099.2831359818,58026,808,0,172,128,0.5424793176,0.4068594882,0,4380,364.2666666667,1123.1407790317,1261445.20952381,0,0,0,1,0,0,0,0,390.2857142857,49.625,844.5,172,8,397,6,5067,8192,440,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
80,81769358,8,6,56,11601,20,0,7.0,5.656854249,4380,0,1933.5,1757.789948,142.5595148,0.17121328,6289950.615,20400000.0,73700000,-1,81200000,11600000.0,27500000.0,73700000,1,591661,118332.2,249601.3504,564345,50,0,172,132,0.09783616,0.07337712,0,4380,777.5333333,1434.571657,2057995.838,0,0,0,0,1,0,0,0,833.0714286,7.0,1933.5,172,8,56,6,11601,256,229,6,20,2004.0,0.0,2004,2004,40600000.0,46900000.0,73700000,7458821,DDoS,1
443,11323841,56,66,2985,112293,533,0,53.3035714286,150.6972786921,4344,0,1701.4090909091,887.7049575216,10180.114680169,10.7737295146,93585.4628099174,908551.93194949,9998886,-1,1324951,24090.0181818182,46894.5596815013,152015,1,11221205,172633.923076923,1239071.64277195,9998910,1,0,1800,2120,4.9453184657,5.8284110489,0,4344,937.2195121951,1054.4402177131,1111844.17273091,0,0,0,1,0,0,0,1,944.9016393443,53.3035714286,1701.4090909091,1800,56,2985,66,112293,29200,277,7,32,1324951.0,0.0,1324951,1324951,9998886.0,0.0,9998886,9998886,BENIGN,1
443,570308,70,143,2362,204542,441,0,33.7428571429,106.3027786342,2896,0,1430.3636363636,322.9718416509,362793.437931784,373.4823989844,2690.1320754717,12519.3699143992,125175,-1,570308,8265.3333333333,21128.7197676435,125301,3,484195,3409.823943662,18363.9112844682,157897,47,0,2248,4584,122.7406945019,250.7417044825,0,2896,966.8411214953,712.7204332371,507970.415953666,0,0,0,1,0,0,0,2,971.3802816901,33.7428571429,1430.3636363636,2248,70,2362,143,204542,29200,139,8,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
443,7809702,444,514,7533,655162,588,0,16.9662162162,73.3255903279,2755,0,1274.6342412451,463.3142560702,84855.3504346261,122.6679327841,8160.6081504702,155994.351505714,4792071,-1,3017628,6811.8013544018,28374.3360215144,205526,38,7690033,14990.3177387914,221924.595608153,4997625,1,0,8892,10288,56.8523613321,65.815571452,0,2755,691.0271115746,715.0207650569,511254.694462525,0,0,0,1,0,0,0,1,691.748434238,16.9662162162,1274.6342412451,8892,444,7533,514,655162,8192,9249,443,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
